iter	Passed	Remaining
457	823	974
458	824	971
459	826	970
460	828	968
461	829	965
462	830	963
463	831	960
464	833	958
465	834	956
466	835	953
467	836	951
468	838	948
469	839	946
470	841	945
471	843	943
472	844	941
473	846	939
474	847	936
475	849	934
476	850	932
477	852	930
478	853	928
479	854	925
480	857	924
481	858	922
482	859	920
483	861	918
484	862	915
485	863	913
486	865	911
487	866	908
488	867	906
489	868	904
490	871	903
491	873	901
492	874	899
493	875	896
494	876	894
495	878	892
496	879	889
497	880	887
498	881	885
499	882	882
500	884	880
501	886	879
502	889	878
503	890	876
504	892	874
505	893	872
506	895	870
507	896	868
508	898	866
509	899	864
510	902	864
511	904	862
512	906	860
513	907	858
514	908	855
515	910	853
516	911	851
517	912	849
518	913	846
519	915	844
520	917	843
521	918	841
522	920	839
523	921	836
524	922	834
525	923	832
526	925	830
527	926	828
528	927	825
529	928	823
530	930	821
531	932	820
532	934	818
533	935	816
534	936	814
535	938	812
536	939	809
537	940	807
538	941	805
539	943	803
540	944	801
541	946	799
542	948	798
543	949	796
544	951	794
545	952	791
546	953	789
547	954	787
548	956	785
549	957	783
550	958	781
551	961	780
552	963	778
553	965	777
554	966	775
555	968	773
556	969	771
557	971	769
558	972	767
559	973	765
560	976	764
561	979	763
562	981	761
563	982	759
564	984	757
565	985	755
566	987	753
567	988	751
568	991	750
569	993	749
570	994	747
571	995	745
572	997	743
573	998	741
574	999	739
575	1001	737
576	1002	735
577	1004	733
578	1008	733
579	1010	731
580	1011	729
581	1013	727
582	1014	725
583	1015	723
584	1017	721
585	1018	719
586	1019	717
587	1021	715
588	1023	714
589	1024	712
590	1026	710
591	1027	708
592	1028	705
593	1029	703
594	1031	701
595	1032	699
596	1033	697
597	1034	695
598	1037	694
599	1038	692
600	1039	690
601	1041	688
602	1042	686
603	1043	684
604	1044	682
605	1046	680
606	1047	678
607	1048	676
608	1049	673
609	1051	672
610	1052	670
611	1054	668
612	1055	666
613	1056	664
614	1058	662
615	1059	660
616	1060	658
617	1061	656
618	1063	654
619	1066	653
620	1068	651
621	1069	649
622	1070	647
623	1071	645
624	1073	643
625	1074	641
626	1075	639
627	1076	637
628	1078	635
629	1080	634
630	1082	633
631	1083	631
632	1085	629
633	1086	627
634	1088	625
635	1089	623
636	1090	621
637	1091	619
638	1093	617
639	1094	615
640	1096	614
641	1097	612
642	1098	610
643	1100	608
644	1101	606
645	1102	604
646	1104	602
647	1105	600
648	1106	598
649	1107	596
650	1109	594
651	1111	593
652	1113	591
653	1114	589
654	1115	587
655	1117	585
656	1118	583
657	1119	581
658	1120	580
659	1122	578
660	1123	576
661	1125	574
662	1127	572
663	1128	571
664	1129	569
665	1131	567
666	1132	565
667	1133	563
668	1134	561
669	1135	559
670	1137	557
671	1138	555
672	1144	556
673	1146	554
674	1147	552
675	1149	550
676	1150	548
677	1151	547
678	1153	545
679	1155	543
680	1157	542
681	1159	540
682	1160	538
683	1161	536
684	1162	534
685	1164	532
686	1165	530
687	1166	529
688	1168	527
689	1169	525
690	1171	523
691	1173	522
692	1174	520
693	1175	518
694	1177	516
695	1178	514
696	1179	512
697	1181	510
698	1182	509
699	1183	507
700	1185	505
701	1187	504
702	1189	502
703	1190	500
704	1191	498
705	1192	496
706	1193	494
707	1195	492
708	1196	491
709	1197	489
710	1198	487
711	1201	485
712	1203	484
713	1204	482
714	1205	480
715	1206	478
716	1208	476
717	1209	475
718	1210	473
719	1212	471
720	1213	469
721	1215	468
722	1217	466
723	1218	464
724	1219	462
725	1221	460
726	1222	459
727	1223	457
728	1224	455
729	1226	453
730	1227	451
731	1228	449
732	1230	448
733	1232	446
734	1233	444
735	1235	443
736	1236	441
737	1237	439
738	1239	437
739	1240	435
740	1241	433
741	1242	432
742	1245	430
743	1247	429
744	1248	427
745	1249	425
746	1251	423
747	1252	421
748	1253	420
749	1254	418
750	1256	416
751	1257	414
752	1258	412
753	1260	411
754	1262	409
755	1264	407
756	1265	406
757	1266	404
758	1268	402
759	1269	400
760	1270	399
761	1272	397
762	1273	395
763	1275	394
764	1277	392
765	1279	390
766	1280	389
767	1282	387
768	1283	385
769	1284	383
770	1286	382
771	1287	380
772	1288	378
773	1290	376
774	1292	375
775	1294	373
776	1295	371
777	1296	369
778	1297	368
779	1299	366
780	1300	364
781	1301	362
782	1302	361
783	1305	359
784	1306	357
785	1308	356
786	1309	354
787	1310	352
788	1311	350
789	1313	349
790	1314	347
791	1315	345
792	1316	343
793	1318	342
794	1320	340
795	1322	338
796	1323	337
797	1325	335
798	1326	333
799	1327	331
800	1328	330
801	1330	328
802	1331	326
803	1332	324
804	1334	323
805	1336	321
806	1338	320
807	1339	318
808	1340	316
809	1341	314
810	1343	313
811	1344	311
812	1345	309
813	1347	307
814	1348	306
815	1351	304
816	1352	302
817	1353	301
818	1355	299
819	1356	297
